i,nearHash,numberParkingTickets,lat,long
0,dphgqf0,3.0,39.958274,-83.02232533333334
1,dphgr1k,1.0,39.954903,-83.00426
2,dphgr2c,8.0,39.95092071428571,-83.00018957142856
3,dphgr2f,3.0,39.95148866666667,-82.99818800000001
4,dphgr30,7.0,39.9523374,-83.000419
5,dphgr31,7.0,39.95306849999999,-82.999459
6,dphgr32,6.0,39.9536835,-83.0007075
7,dphgr34,10.0,39.952447285714285,-82.99849371428571
8,dphgr36,12.0,39.9536521,-82.99749460000001
9,dphgr3b,8.0,39.95629266666667,-83.00201766666667
10,dphgr3d,20.0,39.95512429411764,-82.9981255882353
11,dphgr4x,2.0,39.959665,-83.00187
12,dphgr5p,7.0,39.96318366666666,-83.00265566666667
13,dphgr5u,4.0,39.96824966666667,-83.00546800000001
14,dphgr5x,6.0,39.96573925,-83.002994
15,dphgr63,3.0,39.958576666666666,-83.001435
16,dphgr67,5.0,39.959832600000006,-82.99703600000001
17,dphgr69,7.0,39.96100828571429,-82.9991057142857
18,dphgr6b,2.0,39.962055,-83.00115
19,dphgr6f,8.0,39.9624982,-82.99843080000001
20,dphgr6k,1.0,39.957943,-82.99635
21,dphgr6q,1.0,39.959590000000006,-82.99238000000001
22,dphgr6r,1.0,39.959675,-82.99166
23,dphgr6v,7.0,39.9621352,-82.99468200000001
24,dphgr6x,9.0,39.961044199999996,-82.992987
25,dphgr6y,2.0,39.962272999999996,-82.99258499999999
26,dphgr70,11.0,39.963602374999994,-83.000448625
27,dphgr73,15.0,39.964105999999994,-82.99957441666668
28,dphgr75,6.0,39.96375475,-82.9974625
29,dphgr78,3.0,39.96551266666667,-83.00031166666668
30,dphgr7f,1.0,39.968059999999994,-82.99847
31,dphgr7h,4.0,39.963415499999996,-82.9955375
32,dphgr7k,1.0,39.964405,-82.995926
33,dphgr7n,1.0,39.96342,-82.98910500000001
34,dphgrd2,3.0,39.9594735,-82.988885
35,dphgrdg,3.0,39.96199633333334,-82.98664
36,dphgrht,16.0,39.97245476923077,-83.00511338461538
37,dphgrhw,14.0,39.972428642857146,-83.0039917142857
38,dphgrhx,1.0,39.97268,-83.00276
39,dphgrjn,19.0,39.97428438888889,-83.00443005555556
40,dphgrjq,47.0,39.97734197500001,-83.00358227500001
41,dphgrjr,7.0,39.97555414285714,-83.0023612857143
42,dphgrk1,4.0,39.96925125,-82.99949475
43,dphgrk4,3.0,39.968865,-82.99852
44,dphgrkh,6.0,39.97044333333333,-82.99191333333334
45,dphgrm4,1.0,39.97477,-82.998085
46,dphgrnw,16.0,39.9823191875,-83.0045681875
47,dphgrpv,12.0,39.98801577777778,-83.00582944444444
48,dphgwbw,2.0,39.993576000000004,-83.01440500000001
49,dphgwbz,27.0,39.99531733333334,-83.00861437499998
50,dphgx47,21.0,40.0007972631579,-83.00722221052631
51,dphgx49,1.0,40.006496000000006,-83.01689
52,dphgx4e,4.0,40.0063625,-83.00864625
