i,meter,numparking_tickets,lat,long,nearHash,HashDist
0,SS109,4.0,39.96136,-82.99240999999999,dphgr6x,0.8560765331723764
4,K946,4.0,39.98684,-83.00533,dphgrpv,3.5851533291371376
8,NI655,3.0,39.97276,-83.00466999999999,dphgrht,2.0463955240528295
11,B59,3.0,39.952315999999996,-82.99813,dphgr34,0.30134557695683933
14,SI503,3.0,39.955696,-83.0013,dphgr3b,0.28078725890630996
17,EA18,3.0,39.95373,-82.99726,dphgr36,0.16236348131478656
20,EP11,3.0,39.963623,-83.000175,dphgr70,0.9699820986422434
23,ED115,2.0,39.955635,-82.997574,dphgr3d,0.0822783691460257
25,K452,2.0,39.977059999999994,-83.00501,dphgrjq,2.515712622077304
27,K415,2.0,39.976795,-83.005165,dphgrjq,2.4902757729665566
29,EI502,2.0,39.960087,-82.98955,dphgrd2,0.9234519823914042
31,UW607,2.0,39.99445,-83.00709,dphgwbz,4.443386740146351
33,EK267,2.0,39.960915,-82.99293,dphgr6x,0.7901876232793494
35,EN261,2.0,39.96278,-82.99473,dphgr6v,0.9082286282830837
37,WA17,2.0,39.953323,-82.99951999999999,dphgr31,0.22367675349762361
39,EN28,2.0,39.962555,-82.99874,dphgr6f,0.8371537823289599
41,EC5,2.0,39.954772999999996,-82.998726,dphgr3d,0.05837779482948777
43,EN62,2.0,39.9626,-82.99838000000001,dphgr6f,0.8407975739773987
45,EN64,2.0,39.96261,-82.99831400000001,dphgr6f,0.841783348189367
47,NN9,2.0,39.96311,-82.99725,dphgr75,0.9002989022843152
49,NI208,2.0,39.965206,-83.00291999999999,dphgr5x,1.201722008986398
51,K574,2.0,39.9765,-83.00329599999999,dphgrjq,2.424413225547392
53,EP159,2.0,39.963993,-82.99691999999999,dphgr75,1.0005523178203597
55,EP32,2.0,39.963825,-82.99964,dphgr73,0.9850290031645323
57,EP37,2.0,39.963703,-82.99947,dphgr73,0.9697791911044132
59,EP4,2.0,39.963715,-83.00062,dphgr70,0.9875200380852438
61,SL556,2.0,39.955296000000004,-82.99834,dphgr3d,0.03455890495607579
63,EP48,2.0,39.9639,-82.99901,dphgr73,0.9877363822744019
65,UE620,2.0,39.995087,-83.00695999999999,dphgwbz,4.511204160796029
67,SP8,2.0,39.96244,-82.99526,dphgr6v,0.8585289413043988
69,EX101,2.0,39.96891,-82.999,dphgrk4,1.5429421772574838
71,UE154,2.0,39.996857,-83.00701,dphgwbz,4.70576836010013
73,UE418,2.0,40.002083,-83.00669,dphgx47,5.275413001199879
75,UE297,2.0,39.998795,-83.00639,dphgx47,4.910370271861484
77,K518,2.0,39.975464,-83.003105,dphgrjq,2.3083391070628756
79,V13,2.0,39.976593,-83.004005,dphgrjq,2.446274529301346
