X,Y,OBJECTID,METER_ID,LOCATION,SIDE_OF_STREET,BLOCKFACE,METER_STATUS,TOW_AWAY_HOURS,METER_TIME,HANDICAP,HOURS_OPERATION,IN_SERVICE,VALET_HOURS,RATE,FOOD_SERVICE_HOURS,TAXI_ZONE_HOURS,CHARGING_STATION,CHARGING_STATION_STATUS
-83.010277747821505,39.960264241408403,6111,C401,STARLING ST S,West,CAPITAL ST - RUSH AL,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.010268567397389,39.960203067552918,6112,C403,STARLING ST S,West,CAPITAL ST - RUSH AL,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.008661264424063,39.95775436996869,5495,C867,TOWN ST W,South,BELLE ST - STARLING ST,Meter & Post Removed,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.008582889768974,39.957763428929319,5494,C869,TOWN ST W,South,BELLE ST - STARLING ST,Meter & Post Removed,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.008514527816416,39.95776949030089,5493,C871,TOWN ST W,South,BELLE ST - STARLING ST,Meter & Post Removed,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.008733948761716,39.959247031067115,6110,C728,STATE ST W,North,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.008823193025947,39.959238739974609,6109,C730,STATE ST W,North,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.00889183733797,39.959232045849994,6108,C732,STATE ST W,North,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009153898770535,39.95920596182129,6106,C738,STATE ST W,North,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009254786922369,39.959193976732351,6105,C740,STATE ST W,North,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009338810056519,39.95918697332457,6104,C742,STATE ST W,North,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009422757036262,39.959171659859734,6102,C744,STATE ST W,North,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009705169398202,39.959136901216048,6095,C748,STATE ST W,North,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009057179917249,39.959064317826247,6107,C751,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009348680465067,39.959026266549714,6103,C753,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009403482688725,39.95902120384963,6101,C755,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.00945641506901,39.959014603721279,6100,C757,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009507699578336,39.959009285148802,6099,C759,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009557338553947,39.959005247223566,6098,C761,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009601983735209,39.95899740949347,6096,C763,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009640033965852,39.958993421862552,6097,C765,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009688414500971,39.958991262706377,6093,C767,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.009735982284397,39.958982812395078,6094,C769,STATE ST W,South,BELLE ST - STARLING ST,Operational,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.008435763998065,39.957776072250887,5492,C873,TOWN ST W,South,BELLE ST - STARLING ST,Meter & Post Removed,3AM - 7AM - 4PM - 6PM,720,0,6 AM - 6 PM,12,, $4.80,,,No,
-83.007711774644193,39.957798586527311,5491,C881,TOWN ST W,South,BELLE ST - WASHINGTON BLVD,Meter & Post Removed,4PM - 6PM,720,0,6 AM - 6 PM,12,, $2.40,,,No,
-83.007636246986948,39.957805038653639,5490,C883,TOWN ST W,South,BELLE ST - WASHINGTON BLVD,Meter & Post Removed,4PM - 6PM,720,0,6 AM - 6 PM,12,, $2.40,,,No,
-83.00756154058304,39.957810645067724,5489,C885,TOWN ST W,South,BELLE ST - WASHINGTON BLVD,Meter & Post Removed,4PM - 6PM,720,0,6 AM - 6 PM,12,, $2.40,,,No,
-83.007485404334801,39.957813895204055,5488,C887,TOWN ST W,South,BELLE ST - WASHINGTON BLVD,Meter & Post Removed,4PM - 6PM,720,0,6 AM - 6 PM,12,, $2.40,,,No,
