i,ParkingGeohash,AvgLatitude,AvgLongitude,AvgTimeToPark,AvgTotalGeohashes,TotalSearching
0,dpj55nh,39.93588,-82.83093000000001,5.8639,7.1667,6
2,dphg7yw,39.9827,-83.14658,7.0306,9.5,6
3,dphgr5u,39.96765,-83.00645,6.0729,11.0,8
4,dphgsdg,40.00588,-83.11744,4.4111,9.3333,6
5,dphgvtg,40.06605,-83.0739,3.4738,6.3571,14
6,dpj4bzg,39.90218,-82.93074,5.4069,7.5833,12
7,dphujjp,40.105909999999994,-83.08998000000001,5.0306,9.6667,6
8,dpj5391,39.95306,-82.90108000000001,4.6896,8.875,8
9,dphgr7f,39.96763,-82.99829,6.5292,7.75,8
10,dphgrc2,39.95364,-82.97916,9.0056,8.5,6
11,dphgr9r,39.95388,-82.98008,7.0146,8.125,24
12,dphgr7h,39.963390000000004,-82.99569,5.675,8.625,8
13,dphgr79,39.96655,-82.99934,6.6889,10.6667,6
14,dphgw8w,39.99369,-83.02611999999999,6.1611,7.1667,6
15,dpj57nt,39.98273,-82.82965,4.356,6.9286,28
16,dphupn9,40.1144,-83.01103,2.2067,8.4,5
17,dphgup9,40.07631,-83.14241,4.2283,7.0,10
18,dphgr7c,39.96751,-82.9993,5.4979,7.75,8
19,dphgupd,40.07566,-83.14123000000001,3.9733,6.8,5
20,dpj5c4y,40.049890000000005,-82.91597,7.1472,9.6667,6
21,dphgr78,39.96621,-83.00097,5.1064,7.2308,13
22,dphgm1f,39.95687,-83.09716,2.9,7.0,14
23,dphgrhx,39.97167,-83.0027,4.5083,7.625,8
24,dphgrjq,39.97582,-83.00353,5.5857,9.0,7
25,dphg7yu,39.98406,-83.14934000000001,4.7833,8.5,6
26,dphgwbz,39.99485,-83.0137,4.8961,7.4118,17
27,dpjh03d,40.0868,-82.95409000000001,3.29,8.6,10
28,dphgnf6,39.9152,-83.02035,6.5667,9.3333,6
29,dphgrhw,39.9717,-83.00372,5.3056,7.6667,12
30,dphgqcf,39.956959999999995,-83.02045,6.3167,7.4,5
31,dphgr6v,39.96232,-82.99445,5.6611,8.6667,6
32,dphgx47,40.00293,-83.00829,4.04,7.8,5
33,dpj52n3,39.981770000000004,-82.96638,4.4567,9.0,10
34,dphgr75,39.96354,-82.99699,5.6596,8.4545,33
35,dphgwx3,40.03087,-83.03215,4.6212,8.5385,26
36,dpj58cu,40.00026,-82.92973,3.8361,6.5,6
37,dphgr1k,39.95411,-83.00647,3.866,6.2,25
38,dphghs8,39.92722,-83.12149000000001,6.0181,8.0,12
39,dphgx49,40.00435,-83.01017,6.98,9.0,5
40,dphgwcj,39.99642,-83.01616,7.47,7.4,5
41,dphupdd,40.09252,-82.98758000000001,3.8083,6.5,8
42,dphurb2,40.12399,-82.97905,2.3292,7.25,8
43,dpj5937,39.99827,-82.90899,4.18,7.6,5
44,dpj5c7s,40.05437,-82.90732,5.8167,9.2,5
45,dpj56ve,39.9775,-82.84371,4.8716,6.5673,8
46,dphgmhd,39.97144,-83.09744,4.0194,6.8333,6
47,dphg7yd,39.98267,-83.15222,4.6208,7.875,8
48,dphujhz,40.10477,-83.09046,6.9185,8.8889,9
49,dphgrc1,39.95245,-82.97797,7.66,9.6,5
50,dphgsdj,40.00139,-83.11459,4.565,7.9,10
51,dphgupj,40.07332,-83.13679,4.0167,7.3846,13
52,dphgr66,39.95915,-82.99784,6.3333,10.6,5
53,dpj54jj,39.93081,-82.87366999999999,10.2198,7.3333,63
54,dphuj4w,40.09252,-83.09185,2.5533,6.6,5
55,dpj5c5q,40.05265,-82.91618000000001,5.6833,8.375,8
56,dphgr70,39.96335,-83.00113,5.8889,8.4444,9
57,dphgkpu,39.989670000000004,-83.13805,2.24,7.4,5
58,dphgnj6,39.93153,-83.05294,5.58,7.6,5
59,dphgrd2,39.95952,-82.98995,8.4146,9.625,8
60,dphgk56,39.96435,-83.14112,1.9567,7.4,5
61,dphgrj0,39.97472,-83.01209,5.75,10.6,5
62,dphgup7,40.07434,-83.13961,3.3389,7.8889,9
63,dphgrj3,39.97538,-83.01111999999999,2.8867,7.4,5
64,dpj55hs,39.92774,-82.83073,3.7796,7.2222,9
65,dphgkev,39.96751,-83.11473000000001,7.0938,9.125,8
66,dpj5c5p,40.05174,-82.91418,8.3933,9.0,5
67,dphgq72,39.964529999999996,-83.04472,4.4444,8.8333,6
68,dphupnz,40.11616,-83.00215,4.1441,9.4706,17
69,dphgr73,39.96456,-82.99961,8.3833,10.5714,7
70,dphgkux,39.97163,-83.10098,4.0067,6.6,5
71,dphgr6y,39.96233,-82.99252,3.5067,9.4,5
72,dphgr4x,39.960809999999995,-83.00238,7.5133,11.8,5
73,dphgr5g,39.96732,-83.00818000000001,5.0483,8.931000000000001,29
74,dphuj70,40.095420000000004,-83.08921,2.3292,8.375,8
75,dphgr69,39.96032,-82.9999,6.45,6.8,5
76,dpj5c5j,40.051629999999996,-82.91703000000001,5.5,7.5,6
77,dpjh016,40.086240000000004,-82.96534,2.26,7.4,5
78,dpj5c5r,40.05268,-82.91454,5.4167,6.7143,7
79,dpj58c2,39.99747,-82.93473,4.5528,6.8333,12
80,dphgr5q,39.96472,-83.00408,5.4548,10.5714,7
81,dphgwt7,40.01984,-83.02976,3.45,7.6667,9
82,dphgkb3,39.948190000000004,-83.10945,3.9067,8.8,5
83,dphg7v6,39.9754,-83.15245999999999,5.6595,11.5714,7
84,dphgr2f,39.95128,-82.99845,3.2708,7.625,8
85,dphgr6g,39.96213,-82.9968,8.0071,8.5714,7
86,dpjh037,40.08593,-82.95251,4.8533,6.0,5
87,dpj595j,40.00731,-82.91695,4.2521,6.5,8
88,dphgrjn,39.974579999999996,-83.00376,4.1405,8.4286,7
